ID,TMC,Severity,Start_Time,End_Time,City,State,Timezone,Visibility(mi),Temperature(F),Humidity(%),Wind_Speed(mph),Precipitation(in),Weather_Condition
A-356,201,3,2/24/2016 6:24,2/24/2016 6:54,Fairborn,OH,US/Eastern,6,39.2,100,18.4,0.16,Light Rain
A-357,201,2,2/24/2016 6:25,2/24/2016 6:55,Miamisburg,OH,US/Eastern,4,42.1,92,13.8,0.09,Rain
A-358,201,2,2/24/2016 6:31,2/24/2016 7:01,Dayton,OH,US/Eastern,9,40.6,99,9.2,0.1,Rain
A-359,201,2,2/24/2016 6:37,2/24/2016 7:07,Columbus,OH,US/Eastern,9,42.8,87,8.1,0.05,Light Rain
A-360,201,3,2/24/2016 6:50,2/24/2016 7:20,Cleveland,OH,US/Eastern,2.5,33.8,100,15,0.11,Rain
A-361,201,3,2/24/2016 6:53,2/24/2016 7:23,Dayton,OH,US/Eastern,9,40.6,99,9.2,0.1,Rain
A-362,201,2,2/24/2016 7:05,2/24/2016 7:35,Dayton,OH,US/Eastern,9,40.6,99,9.2,0.1,Rain
A-363,201,2,2/24/2016 7:09,2/24/2016 7:39,Barberton,OH,US/Eastern,4,39.9,86,12.7,0.22,Rain
A-364,201,2,2/24/2016 7:18,2/24/2016 8:03,Fraziers Bottom,WV,US/Eastern,10,49,100,10,0,Cloudy
A-365,201,2,2/24/2016 7:24,2/24/2016 7:54,Dayton,OH,US/Eastern,9,40.6,99,9.2,0.1,Rain
A-368,201,2,2/24/2016 7:29,2/24/2016 7:59,Moraine,OH,US/Eastern,5,44.1,89,16.1,0.04,Rain
A-369,201,2,2/24/2016 7:26,2/24/2016 7:56,Barberton,OH,US/Eastern,4,39.9,89,12.7,0.16,Rain
A-370,241,3,2/24/2016 7:43,2/24/2016 8:13,Fairborn,OH,US/Eastern,3,41,99,15,0.08,Rain
A-371,201,3,2/24/2016 7:39,2/24/2016 8:09,Akron,OH,US/Eastern,4,39.9,89,12.7,0.16,Rain
A-372,201,3,2/24/2016 7:52,2/24/2016 8:22,Independence,OH,US/Eastern,2,35.1,92,18.4,0.19,Rain
A-373,201,3,2/24/2016 7:51,2/24/2016 8:21,Barberton,OH,US/Eastern,4,39.9,89,12.7,0.16,Rain
A-374,201,2,2/24/2016 8:02,2/24/2016 8:32,Dayton,OH,US/Eastern,1.8,44.1,93,15,0.02,Heavy Rain
A-375,201,1,2/24/2016 7:59,2/24/2016 8:29,Cambridge,OH,US/Eastern,7,46,86,11.5,0.08,Light Rain
A-376,201,2,2/24/2016 8:04,2/24/2016 8:34,Moraine,OH,US/Eastern,1.8,44.1,93,15,0.02,Heavy Rain
A-377,201,2,2/24/2016 8:05,2/24/2016 8:35,Dayton,OH,US/Eastern,3,41,99,15,0.08,Rain
A-378,201,2,2/24/2016 8:17,2/24/2016 8:47,Dayton,OH,US/Eastern,1.8,39,96,15,0.05,Rain
A-379,201,2,2/24/2016 8:11,2/24/2016 8:41,Dayton,OH,US/Eastern,3,41,99,15,0.08,Rain
A-381,201,2,2/24/2016 8:24,2/24/2016 8:54,Dayton,OH,US/Eastern,2,45,90,16.1,0.06,Light Rain
A-382,201,2,2/24/2016 8:56,2/24/2016 9:26,Carroll,OH,US/Eastern,10,48,89,9.2,0.02,Overcast
A-383,241,3,2/24/2016 11:13,2/24/2016 11:43,Bowling Green,OH,US/Eastern,1.5,35.1,89,13.8,0.02,Light Rain
A-384,201,2,2/24/2016 11:26,2/24/2016 11:56,Dayton,OH,US/Eastern,8,44.1,100,9.2,0.01,Overcast
A-386,201,3,2/24/2016 17:11,2/24/2016 21:00,Columbus,OH,US/Eastern,10,52,80,18.4,0.05,Overcast
A-388,201,2,2/25/2016 6:37,2/25/2016 7:07,Columbus,OH,US/Eastern,3,30.2,93,12.7,0.01,Light Snow
A-389,200,2,2/25/2016 7:53,2/25/2016 8:23,Oberlin,OH,US/Eastern,0.5,30.9,92,23,0.01,Snow
A-390,201,2,2/25/2016 7:59,2/25/2016 8:29,Dayton,OH,US/Eastern,7,33.4,90,12.7,0.01,Light Snow
A-391,201,3,2/25/2016 8:04,2/25/2016 8:34,Columbus,OH,US/Eastern,9,32,88,15,0,Overcast
A-392,201,2,2/25/2016 9:26,2/25/2016 9:56,Dayton,OH,US/Eastern,4,33.1,89,18.4,0,Light Snow
A-394,201,2,2/25/2016 10:06,2/25/2016 10:36,Dayton,OH,US/Eastern,4,33.1,85,11.5,0,Light Snow
A-395,201,2,2/25/2016 12:55,2/25/2016 13:25,Miamisburg,OH,US/Eastern,2.5,35.1,78,18.4,0,Light Snow
A-396,201,2,2/25/2016 16:12,2/25/2016 16:42,Dayton,OH,US/Eastern,5,33.1,89,20.7,0,Light Snow
A-397,201,2,2/25/2016 16:17,2/25/2016 17:02,Dayton,OH,US/Eastern,5,33.1,89,20.7,0,Light Snow
A-401,201,3,2/26/2016 16:21,2/26/2016 16:51,Barberton,OH,US/Eastern,5,28.9,67,11.5,0,Light Snow
A-409,201,3,2/29/2016 7:14,2/29/2016 7:44,Miamisburg,OH,US/Eastern,10,39,79,13.8,0,Overcast
A-436,201,3,3/1/2016 11:56,3/1/2016 12:26,Piqua,OH,US/Eastern,4,42.8,93,9.2,0.09,Rain
A-437,201,2,3/1/2016 12:36,3/1/2016 13:51,Columbus,OH,US/Eastern,10,55.9,39,8.1,0,Light Rain
A-438,201,2,3/1/2016 12:50,3/1/2016 13:20,Miamisburg,OH,US/Eastern,10,48,71,8.1,0.02,Light Rain
A-439,201,2,3/1/2016 16:41,3/1/2016 17:11,Westerville,OH,US/Eastern,4,48,96,5.8,0.19,Light Rain
A-441,201,3,3/1/2016 17:31,3/1/2016 18:01,Columbus,OH,US/Eastern,8,48.2,93,8.1,0,Light Rain
A-442,201,3,3/1/2016 17:39,3/1/2016 21:00,Columbus,OH,US/Eastern,8,48.2,100,9.2,0,Overcast
A-443,201,3,3/1/2016 18:07,3/1/2016 18:37,Columbus,OH,US/Eastern,5,50,94,10.4,0,Light Rain
A-444,201,2,3/1/2016 18:37,3/1/2016 19:07,Miamisburg,OH,US/Eastern,10,39,82,25.3,0,Overcast
A-449,201,2,3/2/2016 17:52,3/2/2016 18:22,Brecksville,OH,US/Eastern,10,25,66,10.4,0,Mostly Cloudy
A-460,201,2,3/3/2016 8:07,3/3/2016 8:37,Blanchester,OH,US/Eastern,4,28.9,78,3.5,0,Light Snow
A-462,201,2,3/3/2016 9:12,3/3/2016 9:42,Dayton,OH,US/Eastern,10,30.6,79,5.8,0,Light Snow
A-464,201,3,3/3/2016 10:05,3/3/2016 10:35,Dayton,OH,US/Eastern,1,30,92,8.1,0,Light Snow
A-466,201,2,3/3/2016 11:51,3/3/2016 12:21,Dayton,OH,US/Eastern,3,34,79,10.4,0,Light Snow
A-467,201,2,3/3/2016 11:57,3/3/2016 12:27,Dayton,OH,US/Eastern,2.5,32,100,6.9,0,Light Snow
A-468,201,2,3/3/2016 14:24,3/3/2016 15:09,Dayton,OH,US/Eastern,1.5,33.1,96,8.1,0.01,Light Snow
A-469,201,2,3/3/2016 14:58,3/3/2016 15:58,Dayton,OH,US/Eastern,1.5,33.1,94,6.9,0.01,Light Snow
A-470,201,2,3/3/2016 15:06,3/3/2016 15:51,Dayton,OH,US/Eastern,1,33.1,89,6.9,0.01,Light Snow
A-471,201,2,3/3/2016 15:07,3/3/2016 15:37,Pickerington,OH,US/Eastern,2,33.1,82,8.1,0,Light Snow
A-473,201,3,3/3/2016 16:30,3/3/2016 17:15,Dayton,OH,US/Eastern,2.5,34,96,8.1,0.01,Light Snow
A-474,201,2,3/3/2016 16:35,3/3/2016 17:20,Dayton,OH,US/Eastern,2,33.1,96,6.9,0.01,Light Snow
A-476,201,3,3/3/2016 18:30,3/3/2016 19:00,Columbus,OH,US/Eastern,1.5,30.2,93,4.6,0.01,Light Snow
A-477,201,3,3/3/2016 18:52,3/3/2016 23:00,Dayton,OH,US/Eastern,1.8,32,100,5.8,0,Light Snow
A-478,406,3,3/3/2016 20:04,3/3/2016 21:00,Columbus,OH,US/Eastern,2.5,32,92,6.9,0,Light Snow
A-479,406,3,3/3/2016 20:21,3/3/2016 20:51,Columbus,OH,US/Eastern,2.5,32,92,6.9,0,Light Snow
A-519,201,2,3/7/2016 15:48,3/7/2016 16:33,Dayton,OH,US/Eastern,10,59,46,13.8,0,Light Rain
A-565,201,2,3/9/2016 14:47,3/9/2016 15:32,Dayton,OH,US/Eastern,9,66.9,59,16.1,0,Light Rain
A-566,201,2,3/9/2016 15:01,3/9/2016 15:46,Dayton,OH,US/Eastern,9,66.9,59,16.1,0,Light Rain
A-568,201,3,3/10/2016 6:09,3/10/2016 6:39,Dayton,OH,US/Eastern,10,57,89,6.9,0,Overcast
A-569,245,3,3/10/2016 6:12,3/10/2016 6:42,Springfield,OH,US/Eastern,10,55.9,100,4.6,0.01,Overcast
A-570,201,3,3/10/2016 7:10,3/10/2016 7:40,Dayton,OH,US/Eastern,10,59,87,9.2,0,Light Rain
A-571,201,3,3/10/2016 7:22,3/10/2016 7:52,Pickerington,OH,US/Eastern,6,59,87,9.2,0.02,Rain
A-572,201,2,3/10/2016 7:35,3/10/2016 8:05,Dayton,OH,US/Eastern,10,59,87,6.9,0,Overcast
A-573,201,2,3/10/2016 7:41,3/10/2016 8:11,Dayton,OH,US/Eastern,7,57.9,93,13.8,0,Light Rain
A-574,245,3,3/10/2016 7:42,3/10/2016 8:12,Vandalia,OH,US/Eastern,7,57.9,93,13.8,0,Light Rain
A-576,201,2,3/10/2016 8:03,3/10/2016 8:33,Dayton,OH,US/Eastern,10,59.2,100,11.5,0,Overcast
A-578,201,3,3/10/2016 8:48,3/10/2016 9:18,Columbus,OH,US/Eastern,10,57.2,100,6.9,0,Overcast
A-579,201,3,3/10/2016 9:32,3/10/2016 10:02,Columbus,OH,US/Eastern,10,59,93,9.2,0,Mostly Cloudy
A-580,201,2,3/10/2016 9:36,3/10/2016 10:06,Dayton,OH,US/Eastern,1.2,57.9,100,13.8,0.01,Light Rain
A-581,201,2,3/10/2016 9:37,3/10/2016 10:07,Dayton,OH,US/Eastern,1.8,57.9,100,9.2,0.05,Light Rain
A-583,201,2,3/10/2016 10:00,3/10/2016 10:30,Miamisburg,OH,US/Eastern,6,59,90,8.1,0.01,Light Rain
A-585,201,2,3/10/2016 11:08,3/10/2016 11:38,Dayton,OH,US/Eastern,2.8,59.9,100,10.4,0.04,Light Rain
A-586,201,3,3/10/2016 11:29,3/10/2016 11:59,Bloomingburg,OH,US/Eastern,1.8,60.1,90,13.8,0.02,Rain
A-590,201,3,3/10/2016 15:02,3/10/2016 16:02,Dayton,OH,US/Eastern,2.5,60.8,100,6.9,0.05,Light Rain
A-591,201,2,3/10/2016 15:29,3/10/2016 15:59,Gallipolis,OH,US/Eastern,10,66,70,5,0,Light Rain
A-593,201,3,3/10/2016 15:57,3/10/2016 16:43,Columbus,OH,US/Eastern,5,60.1,90,12.7,0.08,Rain
A-594,201,3,3/10/2016 16:41,3/10/2016 17:26,Miamisburg,OH,US/Eastern,2,60.1,93,6.9,0.07,Light Rain
A-596,201,3,3/10/2016 18:34,3/10/2016 23:00,Dayton,OH,US/Eastern,2.5,57.6,100,11.5,0.11,Rain
A-651,201,2,3/14/2016 13:12,3/14/2016 13:42,Dayton,OH,US/Eastern,2,62.1,86,6.9,0.02,Rain
A-652,201,3,3/14/2016 13:33,3/14/2016 14:18,Dayton,OH,US/Eastern,4,61,93,6.9,0.09,Rain
A-653,201,2,3/14/2016 15:02,3/14/2016 15:47,Dayton,OH,US/Eastern,10,65.8,84,13.8,0,Mostly Cloudy
A-657,201,2,3/15/2016 6:58,3/15/2016 7:28,Dayton,OH,US/Eastern,5,54.3,100,2.3,0,Overcast
A-662,201,3,3/15/2016 8:13,3/15/2016 8:43,Independence,OH,US/Eastern,0.8,43,97,9.2,0.01,Light Rain
A-959,343,3,6/22/2016 23:26,6/22/2016 23:56,Fairfield,CA,US/Pacific,10,55.9,80,9.2,0,Light Rain
A-969,201,3,6/23/2016 3:04,6/23/2016 4:04,Fairfield,CA,US/Pacific,10,54,83,5.8,0,Light Rain
A-1648,201,3,6/29/2016 10:47,6/29/2016 11:33,Hayward,CA,US/Pacific,10,60.1,67,11.5,0,Mostly Cloudy
A-2914,201,2,7/13/2016 11:42,7/13/2016 12:12,Fremont,CA,US/Pacific,10,73.9,46,8.1,0,Clear
A-2915,201,3,7/13/2016 11:42,7/13/2016 12:12,Hayward,CA,US/Pacific,10,73.9,46,8.1,0,Clear
A-2916,201,2,7/13/2016 11:40,7/13/2016 12:25,Castro Valley,CA,US/Pacific,10,73.9,46,8.1,0,Clear
A-5031,201,2,11/30/2016 16:09,11/30/2016 16:55,Boulder Creek,CA,US/Pacific,10,53.1,89,9.2,0.02,Mostly Cloudy
A-5053,241,3,11/30/2016 17:44,11/30/2016 18:13,Pleasanton,CA,US/Pacific,8,50,89,3.5,0,Overcast
A-6007,201,2,12/7/2016 12:43,12/7/2016 13:12,Oakland,CA,US/Pacific,10,51.1,56,6.9,0,Light Rain
A-6020,201,3,12/7/2016 13:41,12/7/2016 14:11,Hayward,CA,US/Pacific,10,52,49,5.8,0,Light Rain
A-6021,201,3,12/7/2016 13:51,12/7/2016 14:20,Pleasanton,CA,US/Pacific,10,48.9,48,6.9,0,Light Rain
A-6028,201,3,12/7/2016 14:53,12/7/2016 15:22,Berkeley,CA,US/Pacific,10,53.1,48,5.8,0,Light Rain
A-6034,201,2,12/7/2016 15:41,12/7/2016 16:10,Santa Rosa,CA,US/Pacific,10,48,63,8.1,0,Overcast
A-6035,201,2,12/7/2016 15:38,12/7/2016 16:08,Sunnyvale,CA,US/Pacific,10,51.1,61,4.6,0,Overcast
A-6040,201,3,12/7/2016 16:06,12/7/2016 16:35,Hayward,CA,US/Pacific,10,51.1,52,3.5,0,Light Rain
A-6041,229,2,12/7/2016 16:04,12/7/2016 16:33,Sacramento,CA,US/Pacific,10,45,80,4.6,0,Overcast
A-6044,201,3,12/7/2016 16:55,12/7/2016 17:25,Berkeley,CA,US/Pacific,10,50,59,10.4,0,Overcast
A-6045,201,2,12/7/2016 16:59,12/7/2016 17:29,West Sacramento,CA,US/Pacific,10,44.1,82,3.5,0,Light Rain
A-6047,201,2,12/7/2016 17:17,12/7/2016 17:47,Antioch,CA,US/Pacific,10,48,50,4.6,0,Light Rain
A-6052,201,2,12/7/2016 17:44,12/7/2016 18:29,Sacramento,CA,US/Pacific,10,44.1,85,5.8,0,Light Rain
A-6053,201,2,12/7/2016 18:01,12/7/2016 18:45,Sacramento,CA,US/Pacific,10,44.1,85,5.8,0,Light Rain
A-6055,201,3,12/7/2016 18:10,12/7/2016 18:40,Union City,CA,US/Pacific,10,48,61,10.4,0,Overcast
A-6057,241,3,12/7/2016 18:32,12/7/2016 19:01,San Francisco,CA,US/Pacific,9,48.9,77,6.9,0.02,Light Rain
A-6058,201,2,12/7/2016 18:31,12/7/2016 19:01,Oakland,CA,US/Pacific,10,48,74,10.4,0.01,Light Rain
A-6060,201,2,12/7/2016 18:50,12/7/2016 19:20,Castro Valley,CA,US/Pacific,10,48,63,9.2,0,Light Rain
A-6062,241,2,12/7/2016 19:05,12/7/2016 19:35,Burlingame,CA,US/Pacific,9,48.9,77,6.9,0.02,Light Rain
A-6063,241,3,12/7/2016 19:21,12/7/2016 19:51,Hayward,CA,US/Pacific,10,48,63,9.2,0,Light Rain
A-6064,201,2,12/7/2016 19:34,12/7/2016 20:03,Livermore,CA,US/Pacific,10,44.1,76,8.1,0,Overcast
A-6065,201,2,12/7/2016 19:43,12/7/2016 20:12,Santa Rosa,CA,US/Pacific,5,41,93,6.9,0.1,Rain
A-6067,201,2,12/7/2016 19:42,12/7/2016 20:12,Lodi,CA,US/Pacific,8,46.9,83,5.8,0.01,Overcast
